ell,EE/EE_ref
2,5.737112078978539
3,14.622772027493392
4,35.18946063987048
5,67.60583381620282
6,79.78307429994993
7,62.66430801833061
8,39.84465126049861
9,22.405457218198425
10,11.903719526792155
11,6.552941830477725
12,4.145052756917339
13,3.0901753929134843
14,2.5292889806421037
15,2.115249970823499
16,1.7680264805511716
17,1.4989714669829408
18,1.3232399721294705
19,1.2237756144380956
20,1.1749621774245829
21,1.1459212082955272
22,1.11098306539396
23,1.065305824080196
24,1.0108725129833436
25,0.9565887147360154
26,0.9112411007973208
27,0.8781421480424836
28,0.858140150846418
29,0.8480031597624496
30,0.8437249393197069
31,0.8420357939992852
32,0.8417324217730657
33,0.8421452359287184
34,0.842716462797795
35,0.8431913037606417
36,0.843397214039965
37,0.8431770500351663
38,0.8423999710558036
39,0.8409472767552527
40,0.8387074915144749
41,0.8356802385819815
42,0.8322766112790488
43,0.8289848551685824
44,0.8262650016125285
45,0.8244431925688516
46,0.823402050371553
47,0.8229258792495976
48,0.822810801970631
49,0.8228638772576635
50,0.8229294346283154
