tau,ell,EE/EE_ref
0.0261,5,1.0
0.0314,5,1.6143907995519524
0.0366,5,2.547249471928311
0.0419,5,3.8904483685674816
0.0472,5,5.653718275785671
0.0524,5,7.791695020603682
0.0561,5,9.5504644720823
0.0629,5,13.272127518861849
0.0682,5,16.573808468600035
0.0735,5,20.193877127253074
0.0787,5,24.023698380383145
0.084,5,28.190535588282902
0.0893,5,32.57312691499256
0.0945,5,37.091384687678534
0.0998,5,41.87315672103909
0.105,5,46.71069898134181
0.1103,5,51.78430045607418
0.1156,5,56.99535007317375
0.1208,5,62.19855568734317
0.1261,5,67.60583381620282
