k (1/Mpc),T(k)
7.0855482157393855e-06,0.9689728967160443
8.92017670528714e-06,0.9689728967160446
1.122983713198034e-05,0.968972657628747
1.413752733575979e-05,0.9689717497629277
1.7798092422922673e-05,0.9689703110225917
2.2406470832678593e-05,0.968967937069414
2.8208075519883866e-05,0.9689641753629472
3.551186308979079e-05,0.9689581528362907
4.470678686389292e-05,0.9689486592344128
5.6282510062620505e-05,0.9689336023750701
7.085548215739394e-05,0.9689097716882892
8.920176705287134e-05,0.9688720694252589
0.00011229837131980332,0.9688124427854604
0.0001413752733575978,0.9687182571434896
0.00017798092422922692,0.9685697723450326
0.00022406470832678576,0.9683363918143937
0.00028208075519883894,0.9679712709041701
0.00035511863089790767,0.9674040189178872
0.00044706786863892966,0.966531747446486
0.0005628251006262052,0.9652094470347377
0.0007085548215739389,0.9632418241430413
0.0008920176705287135,0.9603755864077256
0.0011229837131980344,0.9562858090810585
0.0014137527335759796,0.9505504389448337
0.001779809242292268,0.9426222942076257
0.002240647083267858,0.9318576714661571
0.00282080755198839,0.9175126329420068
0.0035511863089790806,0.8987944650911907
0.004470678686389294,0.8748998415695756
0.005628251006262052,0.8450473786319599
0.0070855482157393965,0.8084907146393229
0.008920176705287138,0.7645353614617809
0.011229837131980346,0.7125851665837243
0.014137527335759799,0.6521863837545292
0.017798092422922684,0.5832222359143217
0.022406470832678587,0.5063165302575304
0.02820807551988391,0.42405092765491653
0.035511863089790784,0.34253863119859707
0.04470678686389298,0.27171222236756193
0.05628251006262059,0.21960970894908433
0.07085548215739391,0.18006211240078604
0.08920176705287132,0.13669844925046212
0.1122983713198035,0.099802402091079
0.14137527335759803,0.07850671087466862
0.17798092422922687,0.055442643912409884
0.2240647083267861,0.04099537638745658
0.2820807551988394,0.029701887481675716
0.35511863089790824,0.021061487357727306
0.44706786863892956,0.014835989879164976
0.5628251006262055,0.010393601387278784
0.7085548215739387,0.007220238417333555
0.8920176705287142,0.004983043799644018
1.1229837131980362,0.003418623243428996
1.4137527335759794,0.0023328559326789345
1.7798092422922709,0.0015843090574712204
2.2406470832678598,0.0010712908942193435
2.8208075519883873,0.0007215440606500907
3.5511863089790863,0.0004842797491524971
